permit_number,issued_date,site_address,sub_type,work_type,contractor,description,valuation
MI303695,2026-05-04,16200 Pine St,Single Family,Maintenance/Repair,Djleonard Llc,Tear-off asphalt architectural shingles & replace with new Asphalt Architectural shingles,30000
MI303525,2026-05-04,5008 Shady Oak Rd,Single Family,Remodel/Alteration,Nicholas P Michalski,Install two bathrooms,30000
MI303545,2026-05-04,4306 Woods Way,Single Family,Remodel/Alteration,LECY BROS HOMES,"Main Level remodel and Lower Level finish141,000",
MI300186,2026-05-01,15400 Minnetonka Indust Rd,Commercial/Ind,Remodel/Alteration,JA BRETT LLC,Adding walls for new offices,5000
MI301532,2026-05-01,4350 Baker Rd 100,Commercial/Ind,Tenant Finish,CRAWFORD MERZ LLC,"interior tenant finish SUITE 37,997",100
MI301598,2026-05-01,4350 Baker Rd 350,Commercial/Ind,Tenant Finish,CRAWFORD MERZ LLC,interior tenant finish remodel at Medsurety Suite 350,57300
MI301599,2026-05-01,4350 Baker Rd 200,Commercial/Ind,Tenant Finish,CRAWFORD MERZ LLC,"interior finish improvements at Suite 54,000",200
MI301600,2026-05-01,4350 Baker Rd 325,Commercial/Ind,Tenant Finish,CRAWFORD MERZ LLC,"interior finish improvements at Suite 19,800",325
MI303581,2026-05-01,4131 Dynasty Dr,Single Family,Maintenance/Repair,Complete Construction Inc Of Mpls,Tear off and re-roof house with attached garage.,26000
MI303584,2026-05-01,4143 Kings Dr,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear off and re-roof 18 sq asphalt shingles for house,7078
MI303591,2026-05-01,14601 Spring Lake Rd,Single Family,Maintenance/Repair,Bold North Roofing And Contracting Llc,tear off- re roof | 45SQ | $30K estimate | Residential,30000
MI303596,2026-05-01,5509 Mahoney Ave,Single Family,Maintenance/Repair,Kaufman Sheet Metal & Roof Inc,Installation of 1st Story 60Mil EPDM Rubber Roofing System,3350
MI303603,2026-05-01,12929 Maywood La,Single Family,Maintenance/Repair,Garlock French Roofing,Tear off and replace an asphalt shingle roofing system.,23479
MI303606,2026-05-01,5516 Tamarack Cir,Single Family,Maintenance/Repair,A-1 Restoration Llc,Tear off asphalt shingles on roof and replace with asphalt shingles.,27100
MI303614,2026-05-01,17840 Powderhorn Dr,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,10200
MI303616,2026-05-01,16410 Minnetonka Blvd,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing shingles and install new asphalt shingles.,11050
MI303618,2026-05-01,11939 Hilloway Rd W,Single Family,Maintenance/Repair,Summit Construction Group Ing,re-roof,10000
MI303457,2026-05-01,3272 Eldorado Tr W,Single Family,Remodel/Alteration,SILVERLAND REMODELING LLC,"Remodel bathroom, replace bathtub and tub/bath surround, new shower/tub valve, install flooring",11550
MI302225,2026-05-01,2926 Creek La,Townhouse Units,Remodel/Alteration,FRERICHS CONSTRUCTION COMPANY,"New casework, countertops, and flooring. Small wall reconfiguration, see floorplan.",40000
MI302226,2026-05-01,11220 Cedar Pointe Dr N,Townhouse Units,Remodel/Alteration,FRERICHS CONSTRUCTION COMPANY,"New casework, countertops,",40000
MI303529,2026-04-30,3730 Purcell Pl,Single Family,Maintenance/Repair,Kretzman Exteriors,"reroof, siding, trim, gutters, downspouts",47625
MI303530,2026-04-30,14715 Minnehaha Pl,Single Family,Maintenance/Repair,Knn Construction Llc,Reroof,21000
MI303532,2026-04-30,14860 Lloyds Dr,Single Family,Maintenance/Repair,All Around Property Preservation Llc,"Replacing the roofs on the house & the shed.25,680",
MI303533,2026-04-30,13500 Inverness Rd,Single Family,Maintenance/Repair,PEAK XTERIORS LLC,Tear Off/Reroof,15000
MI303537,2026-04-30,15516 Robinwood Dr,Single Family,Maintenance/Repair,Bitz Exteriors Llc,"Remove and dispose of existing damaged roofing system, furnish and install new.",50000
MI303551,2026-04-30,2903 Bay St,Single Family,Maintenance/Repair,HAIL PRO LLC,Tear Off/Reroof & adding new layer of roof sheeting,18500
MI303556,2026-04-30,3139 Lake Shore Blvd,Single Family,Maintenance/Repair,Advantage Construction Inc,tear off & re-roof house & attached garage,20363
MI303557,2026-04-30,15233 Highland Tr,Single Family,Maintenance/Repair,Amrg Llc,Complete tear off and reroof with asphalt shingles,15675
MI303558,2026-04-30,4617 Chantrey Ct,Single Family,Maintenance/Repair,WATERSTONE CONSTRUCTION INC,Tear Off/Reroof,25000
MI303561,2026-04-30,4686 Chantrey Pl,Single Family,Maintenance/Repair,Allstar Construction Commercial Llc,"Tear off and re-roof, asphalt shingles, 65sq.",58000
MI303564,2026-04-30,3131 Lake Shore Blvd,Single Family,Maintenance/Repair,Advantage Construction Inc,Tear off & re-roof house & attached garage,33781
MI303565,2026-04-30,3149 Lake Shore Blvd,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,27625
MI303569,2026-04-30,5148 Beacon Hill Rd,Single Family,Maintenance/Repair,Blue Collar Contracting Llc,"12 windows, just replacing into existing openings.",18000
MI303570,2026-04-30,3827 Susan La,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing roof and install new asphalt shingles,20825
MI303572,2026-04-30,3707 Elmwood Pl,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,17000
MI303573,2026-04-30,4300 Highland Rd,Single Family,Maintenance/Repair,Presidential Construction Inc,Tear off and re-roof house shed and garage,10000
MI303574,2026-04-30,16801 Blenheim Way,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing roof and install new asphalt shingles,12325
MI303575,2026-04-30,15531 Holdridge Dr,Single Family,Maintenance/Repair,Summit Construction Group Ing,re-roof,14000
MI303577,2026-04-30,3165 Lake Shore Blvd,Single Family,Maintenance/Repair,Cedar Creek Builders Llc,reroof,37071
MI303414,2026-04-30,10441 Greenbrier Rd 302,Single Family,Remodel/Alteration,JBS ENERGY SOLUTIONS LLC,Remodel bathroom,6900
MI303487,2026-04-29,5022 Baker Rd,Commercial/Ind,Maintenance/Repair,ROC HOME PROS LLC,"Replace 2 WINDOWS 1 DOOR SAME SIZE2,300",
MI303489,2026-04-29,4041 Merriam Rd,Commercial/Ind,Maintenance/Repair,ROC HOME PROS LLC,Replace 1 window same size,1200
MI303086,2026-04-29,130 Cheshire La 100,Commercial/Ind,Remodel/Alteration,ZIMMERMAN COMMERCIAL CONSTRUCTION,Tenant Improvement,36278
MI303464,2026-04-29,14400 Woodhaven Rd,Single Family,Maintenance/Repair,Customer First Contractors Llc,remove and replace roofing,6000
MI303466,2026-04-29,16631 Meadowbrook La,Single Family,Maintenance/Repair,Customer First Contractors Llc,remove and replace roofing,5000
MI303467,2026-04-29,4302 Annika Ct,Single Family,Maintenance/Repair,R Davis Construction Inc,Re-roof,15000
MI303468,2026-04-29,13522 Westernesse,Single Family,Maintenance/Repair,BALANCING ROCK DESIGN CONTRACTING,R & INC R Asphalt Shingle Roof,18000
MI303469,2026-04-29,15542 Sussex Dr,Single Family,Maintenance/Repair,R Davis Construction Inc,Re-roof,9000
MI303470,2026-04-29,5820 Chastek Way,Single Family,Maintenance/Repair,Biesanz Energy Group Inc,10 windows and front door,32000
MI303471,2026-04-29,3604 Westmark Dr,Single Family,Maintenance/Repair,"Neisen Construction, Inc.",Reroof - Asphalt roof,17000
MI303472,2026-04-29,3606 Westmark Dr,Single Family,Maintenance/Repair,"Neisen Construction, Inc.",Reroof - Asphalt roof,13492
MI303474,2026-04-29,17301 Creek Ridge Pass,Single Family,Maintenance/Repair,Window Outfitters Inc,replace front door,6664
MI303478,2026-04-29,5615 Eden Prairie Rd,Single Family,Maintenance/Repair,Summit Construction Group Ing,re-roof,8000
MI303479,2026-04-29,17314 Bay La,Single Family,Maintenance/Repair,Storm Pro Exteriors Inc,Tear off and reshingle 31 square asphalt shingles,18000
MI303482,2026-04-29,14685 Williston Glen,Single Family,Maintenance/Repair,Ntc Homes Inc,Remove existing asphalt shingles. Install new underlayment & asphalt shingles,42500
MI303483,2026-04-29,2203 Springwood Rd,Single Family,Maintenance/Repair,Standard Water Control System Inc,stucco repair,25000
MI303484,2026-04-29,15033 Crestview La,Single Family,Maintenance/Repair,"Custom Remodelers, Inc.","Replacing 1 patio door, same size",10714
MI303488,2026-04-29,3521 Elm La,Single Family,Maintenance/Repair,ROC HOME PROS LLC,Window Replacement (5) 1 l sliding door same size,4200
MI303491,2026-04-29,11482 Cedar Pass,Single Family,Maintenance/Repair,Les Jones Roofing Inc,Replace roof on house and garage,59724
MI303496,2026-04-29,15316 Lynn Ter,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear off and re-roof 23 sq asphalt shingles for house,9551
MI303498,2026-04-29,13513 Mcginty Rd E,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,rebuild chimney from roofline up,5000
MI303500,2026-04-29,2116 Vernon Dr S,Single Family,Maintenance/Repair,Ls West Llc,Tear-off & reroof with asphalt shingles,17635
MI303501,2026-04-29,4024 Highland Rd,Single Family,Maintenance/Repair,Peak Builders Llc,Complete Re-Roof of Dwelling,15000
MI303503,2026-04-29,13713 Favorite La,Single Family,Maintenance/Repair,Summit Construction Group Ing,re-roof,9000
MI303507,2026-04-29,3409 Balsa Ct,Single Family,Maintenance/Repair,Royale Crown Construction Inc,Remove existing shingles and underlayments and replace with new asphalt shingles and underlayments,8400
MI303508,2026-04-29,17653 Susan Dr,Single Family,Maintenance/Repair,Weathersafe Restoration Inc,Re-Roof,22000
MI303518,2026-04-29,16510 Linden Dr,Single Family,Maintenance/Repair,Blackbeard Construction Corporation,Replacing siding with LP lap siding,15000
MI303521,2026-04-29,17300 Co Rd No 101,Single Family,Maintenance/Repair,Liberte Construction,Remove and replace shingle roof,56000
MI303522,2026-04-29,2415 Bantas Point La,Single Family,Maintenance/Repair,Liberte Construction,Remove and replace shingle roof,14000
MI301801,2026-04-29,2207 Oakland Rd,Single Family,New,ZEHNDER HOMES INC,"Single Family Home, 2-Story, Finished Basement, Deck",962641
MI301701,2026-04-29,12029 James Rd,Single Family,Remodel/Alteration,GREAT LAKES WINDOW & SIDING CO,Bath Remodel,15000
MI303067,2026-04-29,1809 Essex Rd,Single Family,Remodel/Alteration,WEST METRO EGRESS WINDOW inc,egress window on east side of basement. existing header,3500
MI303510,2026-04-29,3524 Co Rd No 101,Townhouse Units,Maintenance/Repair,UNITED CONTRACTING MN LLC,Tear Off/Reroof,4000
MI303511,2026-04-29,3522 Co Rd No 101,Townhouse Units,Maintenance/Repair,UNITED CONTRACTING MN LLC,Tear Off/Reroof,4000
MI303512,2026-04-29,3500 Co Rd No 101,Townhouse Units,Maintenance/Repair,UNITED CONTRACTING MN LLC,Tear Off/Reroof,4000
MI303513,2026-04-29,16224 Birch La,Townhouse Units,Maintenance/Repair,UNITED CONTRACTING MN LLC,Reroof,4000
MI303514,2026-04-29,3518 Co Rd No 101,Townhouse Units,Maintenance/Repair,UNITED CONTRACTING MN LLC,Tear Off/Reroof,4000
MI303515,2026-04-29,3514 Co Rd No 101,Townhouse Units,Maintenance/Repair,UNITED CONTRACTING MN LLC,Re-roof and Re-side,10000
MI302456,2026-04-28,11100 Wayzata Blvd 560,Commercial/Ind,Tenant Finish,WESTIN CONSTRUCTION,"SF Tenant Building out - Spec Suite 560 251,059",2410
MI303381,2026-04-28,14412 Tonka Downs Dr,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear off and re-roof 23 sq asphalt shingles for house,8953
MI303382,2026-04-28,5017 Highland Rd,Single Family,Maintenance/Repair,Legacy Restoration Llc,Remove and replace 38 sq vinyl siding on house,19988
MI303383,2026-04-28,15423 Boulder Creek Dr,Single Family,Maintenance/Repair,Johnny Campos Jr,"10 windows, all replacing existing openings.",8000
MI303384,2026-04-28,15423 Boulder Creek Dr,Single Family,Maintenance/Repair,Johnny Campos Jr,Replacing existing siding with new LP siding.,12000
MI303385,2026-04-28,3713 Elmwood Pl,Single Family,Maintenance/Repair,Pudas Construction,Remove and replace asphalt shingles,31000
MI303388,2026-04-28,3186 Lake Shore Blvd,Single Family,Maintenance/Repair,Mn Pro Llc Dba Mn Pro Exteriors,reroof,15600
MI303389,2026-04-28,3415 Groveland La,Single Family,Maintenance/Repair,Foss Exteriors Llc,Tearoff & Reroof,38000
MI303394,2026-04-28,3925 Victoria St,Single Family,Maintenance/Repair,Keyprime Inc,Chimney repair,1100
MI303399,2026-04-28,18310 Jonathan Cir,Single Family,Maintenance/Repair,LIONS SHARE EXTERIORS,R&R 23 square asphalt shingles replace skylight same for same,14529
MI303402,2026-04-28,14325 Bellevue Dr,Single Family,Maintenance/Repair,Summit Construction Group Ing,re-roof,7000
MI303403,2026-04-28,13110 Brenwood Tr,Single Family,Maintenance/Repair,Crew 2 Inc,1 back door replacement - no alterations to existing opening,1248
MI303415,2026-04-28,16615 Meadowbrook La,Single Family,Maintenance/Repair,New Life Contracting Inc,Remove and replace roof,20316
MI303418,2026-04-28,14400 Woodruff Rd,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear off and re-roof 24 sq asphalt shingles for house,8970
MI303421,2026-04-28,3360 Breconwood Cir,Single Family,Maintenance/Repair,Home Depot Usa Inc,Remove and replace 2 entry door same size no structural change,6577
MI303423,2026-04-28,3116 Minnehaha Ct,Single Family,Maintenance/Repair,Northern Hideaway Homes,Tear off and reroof main dwelling and shed,27363
MI303424,2026-04-28,15011 Woodruff Rd,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear off and re-roof 34 sq asphalt shingles for house,12575
MI303430,2026-04-28,12618 Lake St Extension,Single Family,Maintenance/Repair,Amrg Llc,Complete tear off and reroof with asphalt shingles,16900
MI303432,2026-04-28,15806 West Oaks,Single Family,Maintenance/Repair,Storm Pro Exteriors Inc,Tear off and reshingle 35 square asphalt shingles,21000
MI303433,2026-04-28,3620 Fairlawn Dr,Single Family,Maintenance/Repair,Tacheny Exteriors,Remove and replace the roof,21364
MI303434,2026-04-28,16640 Devon Dr,Single Family,Maintenance/Repair,Incline Enterprises Inc,asphalt reroof house,12400
MI303438,2026-04-28,14031 Windsor Rd,Single Family,Maintenance/Repair,Rossman Construction Company Llc,Tear off and re-roof,25000
MI303440,2026-04-28,11945 Bradford Rd,Single Family,Maintenance/Repair,Northwest Contracting Llc,Re-roof of house,6500
MI303441,2026-04-28,17301 Charmy Downs,Single Family,Maintenance/Repair,Summit Construction Group Ing,re-roof,11000
MI303442,2026-04-28,11209 Oak Ridge La W,Single Family,Maintenance/Repair,Roof Company N A Inc,"Tear off Asphalt Flat Roof. Add Insulation above roof deck, fully adhere EPDM Roofing",45484
MI303444,2026-04-28,4605 Fairhills Rd E,Single Family,Maintenance/Repair,Big Boy Exteriors Llc,63 Sq. Reroof,40000
MI303446,2026-04-28,5230 Holiday Rd,Single Family,Maintenance/Repair,Blackbeard Construction Corporation,Tear off and reroof house.,10000
MI303448,2026-04-28,17900 Susan La,Single Family,Maintenance/Repair,Big Boy Exteriors Llc,18 Sq. Siding,20000
MI303450,2026-04-28,4129 Avondale St,Single Family,Maintenance/Repair,Midwest Exteriors Mn,"tear off, new felt, new ice and water, installing 37 SQ laminated asphalt shingles",15000
MI303451,2026-04-28,3636 Sunrise Dr W,Single Family,Maintenance/Repair,Buildtec Contracting Company Llc,Tear off and re-roof,17397
MI303454,2026-04-28,1828 Essex Rd,Single Family,Maintenance/Repair,All American Restoration Llc,Front elevation repalcement and whole house soffit and facia replacement,22500
MI303456,2026-04-28,13521 Mcginty Rd E,Single Family,Maintenance/Repair,Lindus Construction,Reroof including tear off three season porch only,6000
MI303458,2026-04-28,4309 Lancelot Ct,Single Family,Maintenance/Repair,Pella Northland,Replacing 1 double sliding patio door- No changes to rough opening,11436
